index,Unnamed: 0,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,EXPIRY_DAYS,Approx_Spot_Price,Model_Price,Price_Difference
505,160898,OPTIDX,BANKNIFTY,2019-08-01,29700.0,CE,0.75,0.85,0.05,0.1,0.0,27688.0,164468.83,193940.0,-128000.0,2019-08-01,0,28339.731785500506,0.0,-0.1
505,160898,OPTIDX,BANKNIFTY,2019-08-01,29700.0,CE,0.75,0.85,0.05,0.1,0.0,27688.0,164468.83,193940.0,-128000.0,2019-08-01,0,28339.731785500506,0.0,-0.1
567,160960,OPTIDX,BANKNIFTY,2019-08-01,29700.0,PE,931.2,1620.0,868.85,1356.3,0.0,927.0,5726.46,8860.0,-5240.0,2019-08-01,0,28339.731785500506,1328.073097101695,-28.226902898304843
567,160960,OPTIDX,BANKNIFTY,2019-08-01,29700.0,PE,931.2,1620.0,868.85,1356.3,0.0,927.0,5726.46,8860.0,-5240.0,2019-08-01,0,28339.731785500506,1347.5497499147816,-8.75025008521834
629,161022,OPTIDX,BANKNIFTY,2019-08-08,29700.0,CE,30.0,32.9,6.0,11.05,11.05,16016.0,95180.45,76560.0,41040.0,2019-08-01,7,28448.234198113598,15.668465168476246,4.618465168476245
629,161022,OPTIDX,BANKNIFTY,2019-08-08,29700.0,CE,30.0,32.9,6.0,11.05,11.05,16016.0,95180.45,76560.0,41040.0,2019-08-01,7,28448.234198113598,21.867776986951714,10.817776986951714
689,161082,OPTIDX,BANKNIFTY,2019-08-08,29700.0,PE,1100.0,1403.0,1100.0,1234.35,1234.35,14.0,86.46,360.0,160.0,2019-08-01,7,28448.234198113598,1236.6937805414066,2.343780541406659
689,161082,OPTIDX,BANKNIFTY,2019-08-08,29700.0,PE,1100.0,1403.0,1100.0,1234.35,1234.35,14.0,86.46,360.0,160.0,2019-08-01,7,28448.234198113598,1249.5605321370847,15.210532137084783
749,161142,OPTIDX,BANKNIFTY,2019-08-14,29700.0,CE,0.0,0.0,0.0,2136.15,74.15,0.0,0.0,0.0,0.0,2019-08-01,13,31259.856655299616,1554.6429159270551,-581.507084072945
749,161142,OPTIDX,BANKNIFTY,2019-08-14,29700.0,CE,0.0,0.0,0.0,2136.15,74.15,0.0,0.0,0.0,0.0,2019-08-01,13,31259.856655299616,1618.6846966363566,-517.4653033636434
809,161202,OPTIDX,BANKNIFTY,2019-08-14,29700.0,PE,0.0,0.0,0.0,523.45,1342.45,0.0,0.0,0.0,0.0,2019-08-01,13,31259.856655299616,43.94370293423641,-479.50629706576365
809,161202,OPTIDX,BANKNIFTY,2019-08-14,29700.0,PE,0.0,0.0,0.0,523.45,1342.45,0.0,0.0,0.0,0.0,2019-08-01,13,31259.856655299616,37.65850883378015,-485.7914911662199
869,161262,OPTIDX,BANKNIFTY,2019-08-22,29700.0,CE,0.0,0.0,0.0,1954.4,156.0,0.0,0.0,0.0,0.0,2019-08-01,21,31037.7344168661,1484.578589004932,-469.82141099506816
869,161262,OPTIDX,BANKNIFTY,2019-08-22,29700.0,CE,0.0,0.0,0.0,1954.4,156.0,0.0,0.0,0.0,0.0,2019-08-01,21,31037.7344168661,1492.421250918432,-461.97874908156814
929,161322,OPTIDX,BANKNIFTY,2019-08-22,29700.0,PE,0.0,0.0,0.0,531.35,1384.7,0.0,0.0,0.0,0.0,2019-08-01,21,31037.7344168661,130.8509426900817,-400.4990573099183
929,161322,OPTIDX,BANKNIFTY,2019-08-22,29700.0,PE,0.0,0.0,0.0,531.35,1384.7,0.0,0.0,0.0,0.0,2019-08-01,21,31037.7344168661,126.17422825015969,-405.17577174984035
